Dim_after_PCA:12,Dim_after_LDA:12,Error_Rate:22.366666666666667%
Dim_after_PCA:12,Dim_after_LDA:11,Error_Rate:5.91666666666667%
Dim_after_PCA:12,Dim_after_LDA:10,Error_Rate:5.91666666666667%
Dim_after_PCA:12,Dim_after_LDA:9,Error_Rate:5.91666666666667%
Dim_after_PCA:12,Dim_after_LDA:8,Error_Rate:5.91666666666667%
Dim_after_PCA:12,Dim_after_LDA:7,Error_Rate:5.91666666666667%
Dim_after_PCA:12,Dim_after_LDA:6,Error_Rate:5.91666666666667%
Dim_after_PCA:12,Dim_after_LDA:5,Error_Rate:5.91666666666667%
Dim_after_PCA:12,Dim_after_LDA:4,Error_Rate:5.91666666666667%
Dim_after_PCA:12,Dim_after_LDA:3,Error_Rate:5.91666666666667%
Dim_after_PCA:12,Dim_after_LDA:2,Error_Rate:5.91666666666667%
Dim_after_PCA:12,Dim_after_LDA:1,Error_Rate:5.91666666666667%
Dim_after_PCA:11,Dim_after_LDA:11,Error_Rate:6.550000000000001%
Dim_after_PCA:11,Dim_after_LDA:10,Error_Rate:6.18333333333333%
Dim_after_PCA:11,Dim_after_LDA:9,Error_Rate:6.18333333333333%
Dim_after_PCA:11,Dim_after_LDA:8,Error_Rate:6.18333333333333%
Dim_after_PCA:11,Dim_after_LDA:7,Error_Rate:6.18333333333333%
Dim_after_PCA:11,Dim_after_LDA:6,Error_Rate:6.18333333333333%
Dim_after_PCA:11,Dim_after_LDA:5,Error_Rate:6.18333333333333%
Dim_after_PCA:11,Dim_after_LDA:4,Error_Rate:6.18333333333333%
Dim_after_PCA:11,Dim_after_LDA:3,Error_Rate:6.18333333333333%
Dim_after_PCA:11,Dim_after_LDA:2,Error_Rate:6.18333333333333%
Dim_after_PCA:11,Dim_after_LDA:1,Error_Rate:6.18333333333333%
Dim_after_PCA:10,Dim_after_LDA:10,Error_Rate:7.783333333333331%
Dim_after_PCA:10,Dim_after_LDA:9,Error_Rate:7.633333333333336%
Dim_after_PCA:10,Dim_after_LDA:8,Error_Rate:7.633333333333336%
Dim_after_PCA:10,Dim_after_LDA:7,Error_Rate:7.633333333333336%
Dim_after_PCA:10,Dim_after_LDA:6,Error_Rate:7.633333333333336%
Dim_after_PCA:10,Dim_after_LDA:5,Error_Rate:7.633333333333336%
Dim_after_PCA:10,Dim_after_LDA:4,Error_Rate:7.633333333333336%
Dim_after_PCA:10,Dim_after_LDA:3,Error_Rate:7.633333333333336%
Dim_after_PCA:10,Dim_after_LDA:2,Error_Rate:7.633333333333336%
Dim_after_PCA:10,Dim_after_LDA:1,Error_Rate:7.633333333333336%
Dim_after_PCA:9,Dim_after_LDA:9,Error_Rate:9.133333333333338%
Dim_after_PCA:9,Dim_after_LDA:8,Error_Rate:8.91666666666666%
Dim_after_PCA:9,Dim_after_LDA:7,Error_Rate:8.91666666666666%
Dim_after_PCA:9,Dim_after_LDA:6,Error_Rate:8.91666666666666%
Dim_after_PCA:9,Dim_after_LDA:5,Error_Rate:8.91666666666666%
