Dim_after_PCA:12,Dim_after_LDA:12,Error_Rate:24.124999999999996%
Dim_after_PCA:12,Dim_after_LDA:11,Error_Rate:6.2083333333333375%
Dim_after_PCA:12,Dim_after_LDA:10,Error_Rate:6.166666666666664%
Dim_after_PCA:12,Dim_after_LDA:9,Error_Rate:6.166666666666664%
Dim_after_PCA:12,Dim_after_LDA:8,Error_Rate:6.166666666666664%
Dim_after_PCA:12,Dim_after_LDA:7,Error_Rate:6.166666666666664%
Dim_after_PCA:12,Dim_after_LDA:6,Error_Rate:6.166666666666664%
Dim_after_PCA:12,Dim_after_LDA:5,Error_Rate:6.166666666666664%
Dim_after_PCA:12,Dim_after_LDA:4,Error_Rate:6.166666666666664%
Dim_after_PCA:12,Dim_after_LDA:3,Error_Rate:6.166666666666664%
Dim_after_PCA:12,Dim_after_LDA:2,Error_Rate:6.166666666666664%
Dim_after_PCA:12,Dim_after_LDA:1,Error_Rate:6.166666666666664%
Dim_after_PCA:11,Dim_after_LDA:11,Error_Rate:6.541666666666668%
Dim_after_PCA:11,Dim_after_LDA:10,Error_Rate:6.2916666666666625%
Dim_after_PCA:11,Dim_after_LDA:9,Error_Rate:6.2916666666666625%
Dim_after_PCA:11,Dim_after_LDA:8,Error_Rate:6.2916666666666625%
Dim_after_PCA:11,Dim_after_LDA:7,Error_Rate:6.2916666666666625%
Dim_after_PCA:11,Dim_after_LDA:6,Error_Rate:6.2916666666666625%
Dim_after_PCA:11,Dim_after_LDA:5,Error_Rate:6.2916666666666625%
Dim_after_PCA:11,Dim_after_LDA:4,Error_Rate:6.2916666666666625%
Dim_after_PCA:11,Dim_after_LDA:3,Error_Rate:6.2916666666666625%
Dim_after_PCA:11,Dim_after_LDA:2,Error_Rate:6.2916666666666625%
Dim_after_PCA:11,Dim_after_LDA:1,Error_Rate:6.2916666666666625%
Dim_after_PCA:10,Dim_after_LDA:10,Error_Rate:8.958333333333336%
Dim_after_PCA:10,Dim_after_LDA:9,Error_Rate:8.458333333333334%
Dim_after_PCA:10,Dim_after_LDA:8,Error_Rate:8.458333333333334%
Dim_after_PCA:10,Dim_after_LDA:7,Error_Rate:8.458333333333334%
Dim_after_PCA:10,Dim_after_LDA:6,Error_Rate:8.458333333333334%
Dim_after_PCA:10,Dim_after_LDA:5,Error_Rate:8.458333333333334%
Dim_after_PCA:10,Dim_after_LDA:4,Error_Rate:8.458333333333334%
Dim_after_PCA:10,Dim_after_LDA:3,Error_Rate:8.41666666666666%
Dim_after_PCA:10,Dim_after_LDA:2,Error_Rate:8.41666666666666%
Dim_after_PCA:10,Dim_after_LDA:1,Error_Rate:8.41666666666666%
